iter	Passed	Remaining
0	1	117
1	2	112
2	4	142
3	5	132
4	7	140
5	9	144
6	10	144
7	11	137
8	12	131
9	13	125
10	14	120
11	16	117
12	17	117
13	19	117
14	20	117
15	21	113
16	22	109
17	23	105
18	24	102
19	24	99
20	25	96
21	26	93
22	27	91
23	28	88
24	28	86
25	31	88
26	32	88
27	34	87
28	34	85
29	35	83
30	37	84
31	38	82
32	39	80
33	41	79
34	41	77
35	42	76
36	43	74
37	44	73
38	46	72
39	47	70
40	48	69
41	48	66
42	49	65
43	49	63
44	50	61
45	51	60
46	52	59
47	54	58
48	55	57
49	55	55
50	56	54
51	57	53
52	58	51
53	59	50
54	61	49
55	62	49
56	63	48
57	64	46
58	65	45
59	66	44
60	67	43
61	68	41
62	69	40
63	69	39
64	71	38
65	72	37
66	74	36
67	75	35
68	77	34
69	79	33
70	80	32
71	81	31
72	82	30
73	83	29
74	84	28
75	85	27
76	86	25
77	87	24
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	94	17
84	95	16
85	96	15
86	97	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	101	7
93	102	6
94	103	5
95	105	4
96	106	3
97	107	2
98	107	1
99	108	0
